Time (s), Leakage
0.00000000e+00,0.00000000e+00
0.00000000e+00,5.47589607e-03
1.00000000e-18,1.35472293e-02
2.00000000e-18,2.40126508e-02
3.00000000e-18,3.76988131e-02
4.00000000e-18,5.08418080e-02
5.00000000e-18,6.80371936e-02
6.00000000e-18,8.49471688e-02
7.00000000e-18,1.03578077e-01
8.00000000e-18,1.24558995e-01
9.00000000e-18,1.44563626e-01
1.00000000e-17,1.67926424e-01
1.10000000e-17,1.90638988e-01
1.20000000e-17,2.14529449e-01
1.30000000e-17,2.40224854e-01
1.40000000e-17,2.64632078e-01
1.50000000e-17,2.91686532e-01
1.60000000e-17,3.17797608e-01
1.70000000e-17,3.44510237e-01
1.80000000e-17,3.72469289e-01
1.90000000e-17,3.98847122e-01
2.00000000e-17,4.27121867e-01
2.10000000e-17,4.54187505e-01
2.20000000e-17,4.81284806e-01
2.30000000e-17,5.09081154e-01
2.40000000e-17,5.35060200e-01
2.50000000e-17,5.62213310e-01
2.60000000e-17,5.87961813e-01
2.70000000e-17,6.13247284e-01
2.80000000e-17,6.38757863e-01
2.90000000e-17,6.62323702e-01
3.00000000e-17,6.86441067e-01
3.10000000e-17,7.09072484e-01
3.20000000e-17,7.30880236e-01
3.30000000e-17,7.52561703e-01
3.40000000e-17,7.72311548e-01
3.50000000e-17,7.92137233e-01
3.60000000e-17,8.10522183e-01
3.70000000e-17,8.27876216e-01
3.80000000e-17,8.44875971e-01
3.90000000e-17,8.60073230e-01
4.00000000e-17,8.74997989e-01
4.10000000e-17,8.88598212e-01
4.20000000e-17,9.01070948e-01
4.30000000e-17,9.13045788e-01
4.40000000e-17,9.23439920e-01
4.50000000e-17,9.33374279e-01
4.60000000e-17,9.42224123e-01
4.70000000e-17,9.50061798e-01
4.80000000e-17,9.57447679e-01
4.90000000e-17,9.63638759e-01
5.00000000e-17,9.69389548e-01
5.10000000e-17,9.74382706e-01
5.20000000e-17,9.78609789e-01
5.30000000e-17,9.82513766e-01
5.40000000e-17,9.85635900e-01
5.50000000e-17,9.88438649e-01
5.60000000e-17,9.90799443e-01
5.70000000e-17,9.92675438e-01
5.80000000e-17,9.94364924e-01
5.90000000e-17,9.95609955e-01
6.00000000e-17,9.96656171e-01
6.10000000e-17,9.97479763e-01
6.20000000e-17,9.98052001e-01
6.30000000e-17,9.98557433e-01
6.40000000e-17,9.98883246e-01
6.50000000e-17,9.99148834e-01
6.60000000e-17,9.99352541e-01
6.70000000e-17,9.99472901e-01
6.80000000e-17,9.99591756e-01
6.90000000e-17,9.99654906e-01
7.00000000e-17,9.99710481e-01
7.10000000e-17,9.99753632e-01
7.20000000e-17,9.99773517e-01
7.30000000e-17,9.99801038e-01
7.40000000e-17,9.99811298e-01
9.40000000e-17,9.99811298e-01
3.40000000e-16,9.99811298e-01
3.40000000e-15,9.99811298e-01
3.70000000e-15,9.99100080e-01
