Particle 1 Position,Particle 2 Position,Eigenvector Squared
1.010101010101010050e-14,1.919191919191919143e-13,9.236666192839284733e-11
1.010101010101010050e-14,2.020202020202020164e-13,1.521629649239736168e-10
1.010101010101010050e-14,2.121212121212121185e-13,2.457760546580046644e-10
1.010101010101010050e-14,2.222222222222222206e-13,3.897715564678711729e-10
1.010101010101010050e-14,2.323232323232323226e-13,6.076456426755023338e-10
1.010101010101010050e-14,2.424242424242423995e-13,9.322411076557673117e-10
1.010101010101010050e-14,2.525252525252525268e-13,1.408832254108060450e-09
1.010101010101010050e-14,2.626262626262626036e-13,2.099008926613372607e-09
1.010101010101010050e-14,2.727272727272727310e-13,3.085499771172055117e-09
1.010101010101010050e-14,2.828282828282828078e-13,4.478080616518853591e-09
1.010101010101010050e-14,2.929292929292929351e-13,6.420714155463407931e-09
1.010101010101010050e-14,3.030303030303030120e-13,9.100060068629899607e-09
1.010101010101010050e-14,3.131313131313131393e-13,1.275547847333997819e-08
1.010101010101010050e-14,3.232323232323232161e-13,1.769062216054213952e-08
1.010101010101010050e-14,3.333333333333332930e-13,2.428667261855756135e-08
1.010101010101010050e-14,3.434343434343434203e-13,3.301721965547807159e-08
1.010101010101010050e-14,3.535353535353534971e-13,4.446471317117827065e-08
1.010101010101010050e-14,3.636363636363636245e-13,5.933832744515934999e-08
1.010101010101010050e-14,3.737373737373737013e-13,7.849297304427854953e-08
1.010101010101010050e-14,3.838383838383838286e-13,1.029490697901478190e-07
1.010101010101010050e-14,3.939393939393939055e-13,1.339125578923584451e-07
1.010101010101010050e-14,4.040404040404040328e-13,1.727944762412936254e-07
1.010101010101010050e-14,4.141414141414141096e-13,2.212292811742641006e-07
1.010101010101010050e-14,4.242424242424242370e-13,2.810909213571171806e-07
1.010101010101010050e-14,4.343434343434343138e-13,3.545055317427625604e-07
1.010101010101010050e-14,4.444444444444444411e-13,4.438594701694488239e-07
1.010101010101010050e-14,4.545454545454545180e-13,5.518013035585052752e-07
1.010101010101010050e-14,4.646464646464646453e-13,6.812362673009074904e-07
1.010101010101010050e-14,4.747474747474747726e-13,8.353116823282866706e-07
1.010101010101010050e-14,4.848484848484847990e-13,1.017391830797583588e-06
1.010101010101010050e-14,4.949494949494949263e-13,1.231020874082917817e-06
1.010101010101010050e-14,5.050505050505050536e-13,1.479872555808629406e-06
1.010101010101010050e-14,5.151515151515150800e-13,1.767685676041452264e-06
1.010101010101010050e-14,5.252525252525252073e-13,2.098184656405344984e-06
1.010101010101010050e-14,5.353535353535353346e-13,2.474984942307162342e-06
1.010101010101010050e-14,5.454545454545454619e-13,2.901483506508222069e-06
1.010101010101010050e-14,5.555555555555554883e-13,3.380735322281676255e-06
1.010101010101010050e-14,5.656565656565656156e-13,3.915317353546477887e-06
1.010101010101010050e-14,5.757575757575757429e-13,4.507182347797644402e-06
1.010101010101010050e-14,5.858585858585858703e-13,5.157505493649917032e-06
1.010101010101010050e-14,5.959595959595958966e-13,5.866527791646521809e-06
1.010101010101010050e-14,6.060606060606060239e-13,6.633400752741662964e-06
1.010101010101010050e-14,6.161616161616161513e-13,7.456037747468458434e-06
1.010101010101010050e-14,6.262626262626262786e-13,8.330977941129980455e-06
1.010101010101010050e-14,6.363636363636363049e-13,9.253269225112089195e-06
1.010101010101010050e-14,6.464646464646464323e-13,1.021637685069408655e-05
1.010101010101010050e-14,6.565656565656565596e-13,1.121212454980620404e-05
1.010101010101010050e-14,6.666666666666665859e-13,1.223067475167502856e-05
1.010101010101010050e-14,6.767676767676767133e-13,1.326055404571112121e-05
1.010101010101010050e-14,6.868686868686868406e-13,1.428872927808875867e-05
1.010101010101010050e-14,6.969696969696969679e-13,1.530073859192913226e-05
1.010101010101010050e-14,7.070707070707069943e-13,1.628088033016409215e-05
1.010101010101010050e-14,7.171717171717171216e-13,1.721246103233776799e-05
1.010101010101010050e-14,7.272727272727272489e-13,1.807810180232705143e-05
1.010101010101010050e-14,7.373737373737373762e-13,1.886010014994858169e-05
1.010101010101010050e-14,7.474747474747474026e-13,1.954084207772136398e-05
1.010101010101010050e-14,7.575757575757575299e-13,2.010325677128001328e-05
1.010101010101010050e-14,7.676767676767676572e-13,2.053130384750430343e-05
1.010101010101010050e-14,7.777777777777777846e-13,2.081048081819571600e-05
1.010101010101010050e-14,7.878787878787878109e-13,2.092833634563112598e-05
1.010101010101010050e-14,7.979797979797979382e-13,2.087497310933699693e-05
1.010101010101010050e-14,8.080808080808080656e-13,2.064352277871274016e-05
1.010101010101010050e-14,8.181818181818180919e-13,2.023057479439586143e-05
1.010101010101010050e-14,8.282828282828282193e-13,1.963654049166195495e-05
1.010101010101010050e-14,8.383838383838383466e-13,1.886593462257571272e-05
1.010101010101010050e-14,8.484848484848484739e-13,1.792755759868407294e-05
1.010101010101010050e-14,8.585858585858585003e-13,1.683456380456367600e-05
1.010101010101010050e-14,8.686868686868686276e-13,1.560440411488575881e-05
1.010101010101010050e-14,8.787878787878787549e-13,1.425863424132963660e-05
1.010101010101010050e-14,8.888888888888888822e-13,1.282258466332424147e-05
1.010101010101010050e-14,8.989898989898989086e-13,1.132489254619715671e-05
1.010101010101010050e-14,9.090909090909090359e-13,9.796901077585421476e-06
1.010101010101010050e-14,9.191919191919191632e-13,8.271936884390469397e-06
1.010101010101010050e-14,9.292929292929292906e-13,6.784481430932821913e-06
1.010101010101010050e-14,9.393939393939394179e-13,5.369257330471986664e-06
