Time (s), Leakage
0.00000000e+00,6.47870208e-03
3.00000000e-20,1.52453349e-02
6.00000000e-20,2.70063017e-02
9.00000000e-20,4.19248193e-02
1.20000000e-19,5.62113313e-02
1.50000000e-19,7.53314217e-02
1.80000000e-19,9.31265510e-02
2.10000000e-19,1.14064657e-01
2.40000000e-19,1.36263511e-01
2.70000000e-19,1.58113427e-01
3.00000000e-19,1.83743732e-01
3.30000000e-19,2.07501310e-01
3.60000000e-19,2.34399870e-01
3.90000000e-19,2.61244476e-01
4.20000000e-19,2.88127489e-01
4.50000000e-19,3.17610162e-01
4.80000000e-19,3.45030612e-01
5.10000000e-19,3.75273893e-01
5.40000000e-19,4.04441744e-01
5.70000000e-19,4.33928823e-01
6.00000000e-19,4.64686831e-01
6.30000000e-19,4.93200338e-01
6.60000000e-19,5.23731267e-01
6.90000000e-19,5.52630783e-01
7.20000000e-19,5.82734114e-01
7.50000000e-19,6.13993440e-01
7.80000000e-19,6.43799868e-01
8.10000000e-19,6.74720977e-01
8.40000000e-19,7.02905432e-01
8.70000000e-19,7.31284403e-01
9.00000000e-19,7.58770793e-01
9.30000000e-19,7.83772894e-01
9.60000000e-19,8.08345689e-01
9.90000000e-19,8.29915360e-01
1.02000000e-18,8.50967098e-01
1.05000000e-18,8.69811425e-01
1.08000000e-18,8.86315436e-01
1.11000000e-18,9.02148226e-01
1.14000000e-18,9.15366359e-01
1.17000000e-18,9.27640012e-01
1.20000000e-18,9.37678886e-01
1.23000000e-18,9.46100026e-01
1.26000000e-18,9.53698768e-01
1.29000000e-18,9.60046799e-01
1.32000000e-18,9.66998180e-01
1.35000000e-18,9.73113589e-01
1.38000000e-18,9.78009588e-01
1.41000000e-18,9.81047631e-01
1.44000000e-18,9.82393376e-01
1.47000000e-18,9.83932292e-01
1.50000000e-18,9.85394556e-01
1.53000000e-18,9.87025064e-01
1.56000000e-18,9.88063702e-01
1.59000000e-18,9.88761750e-01
1.62000000e-18,9.89984850e-01
1.65000000e-18,9.91092834e-01
1.68000000e-18,9.92123779e-01
1.71000000e-18,9.92897460e-01
1.74000000e-18,9.93637379e-01
1.77000000e-18,9.94209405e-01
